链,地址,推测交易所,置信度,来源数,来源详情,命中原因/标签原文,Nansen验证结果,Arkham验证结果,备注
solana,3gd3dqgtJ4jWfBfLYTX67DALFetjc5iS72sCgRhCkW2u,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance 10' 命中交易所关键词,,,
solana,9WzDXwBbmkg8ZTbNMqUxvQRAyrZzDsGYdLVL9zYtAWWM,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance 3' 命中交易所关键词,,,
solana,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance 2' 命中交易所关键词,,,
solana,38xCLm9kSExfGU1GdyVuX4vop7SZns9kU2mQyTmmMdUP,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance Cold Wallet (38xCL)' 命中交易所关键词,,,
solana,GBrURzmtWujJRTA3Bkvo7ZgWuZYLMMwPCwre7BejJXnK,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance Cold Wallet (GBrUR)' 命中交易所关键词,,,
solana,6QJzieMYfp7yr3EdrePaQoG3Ghxs2wM98xSLRu8Xh56U,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance 11' 命中交易所关键词,,,
solana,G7vNg68KfbjVLCTc8Uw9JVmaC4ZajpX97ApkToBqvviy,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance Bidge' 命中交易所关键词,,,
solana,53unSgGWqEWANcPYRF35B2Bgf8BkszUtcccKiXwGGLyr,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance.us Hot Wallet' 命中交易所关键词,,,
solana,H8BgJgae6qhMtf7BM2JtddywSQt11WdxHHxkGLNX5hss,Binance,medium,1,auto_snapshot_label,持仓快照标签 'Binance Cold Wallet (H8BgJ)' 命中交易所关键词,,,
solana,CgANddXc7FKSsdLSdFv67X8faZqQaRTeLMXkAVANkZD4,BitMart,medium,1,auto_snapshot_label,持仓快照标签 'Bitmart Hot Wallet' 命中交易所关键词,,,
solana,8ZPaybdHeNwpoxmU1ALcbLoE3eK443Jq4emk82VCscag,Bitget,medium,1,auto_snapshot_label,持仓快照标签 'Bitget Cold Wallet (8ZPay)' 命中交易所关键词,,,
solana,EPxGiguU5j5tKFnMQpzMrzczEQ5NRtLWrpG9fADvtadX,Bitget,medium,1,auto_snapshot_label,持仓快照标签 'Bitget Cold Wallet (EPxGi)' 命中交易所关键词,,,
