 asset_id	canonical_symbol	canonical_name	asset_type	market_cap_rank	market_cap	source_cnt	contract_cnt 
 2	BTC	Bitcoin	coin	1	1287094113542	5	0 
 26196	BTC	Bitcoin Gold AI	token			1	1 
 26192	BTC	Bitcoin X (tokenxoff.xyz)	token			1	1 
 26797	BTC	NEAR Intents Bridged BTC	coin			0	0 
 26314	BTC	batcat	coin			0	0 
 26324	BTC	Big Tom Coin	coin			0	0 
 26354	BTC	Bobby The Cat	coin			0	0 
 26355	BTC	Bobby The Cat	coin			0	0 
 26760	BTC	Mezo Wrapped BTC	coin			5	0 
 26854	BTC	Osmosis allBTC	coin			2	0 
 26186	BTC	Bullish Trump Coin	meme			1	1 
 26190	BTC	Bitcoin AI	meme			2	1 
 26191	BTC	Bitcoin Base	token			2	1 
 26193	BTC	Bitcoin Inu (tokeninu.xyz)	meme			1	1 
 26194	BTC	Bitcoin Second Chance	meme			2	1 
 26195	BTC	Bridged BTC (NEAR Intents)	token			1	1
